Size,Size,Cup,Bust,Waist,Hip
XS,0,30A/B,32.5,25,35
XS,2,32B,33.5,26.5,36.5
S,4,32B/C,34,27.5,37
S,6,34B,35.5,28.5,38.5
M,8,34C/D,36,29,39
M,10,36B/C,37.5,30.5,40.5
L,12,36D,39,32,42
L,14,38C/D,40.5,33.5,43.5
XL,16,38DD,42,35,45
XL,18,40C/D,43.5,36.5,46.5
OS,-,-,32-40,25-33,35-43
